Draw,Date,Winning Number 1,2,3,4,5,6,7,Powerball ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize
1421,2023-08-10,9,10,11,16,18,23,24,9,"18,23",10,3,4,2,3,2,0,0,0,1,264052.6,30,10942.7,597,478.15,1260,169.9,18278,73.4,23134,45.05,116212,19.05,331747,11.45
1420,2023-08-03,1,7,13,18,23,25,33,7,"18,33",,6,1,2,2,2,1,2,50000000,49,40880.9,268,9292.6,4771,453.9,10194,159.35,144837,70.25,183325,43.1,879573,19.1,2493416,11.55
1419,2023-07-27,4,14,16,18,19,22,33,18,"4,14",,2,5,1,4,1,1,0,0,8,134969.6,128,10487.5,2392,488,4993,175.35,72309,75.85,94915,44.9,448183,20.2,1286967,12.1
1418,2023-07-20,4,7,9,14,27,29,32,17,"27,29",,4,3,3,1,2,1,0,0,13,59760.5,118,8185.25,2107,398.6,3817,165.05,53595,73.65,72280,42.4,329282,19.75,936166,11.95
1417,2023-07-13,3,11,17,19,27,29,30,15,17,,6,1,1,3,3,0,0,0,2,259121.05,58,11108.65,1200,466.9,2613,160.8,37300,70.6,52331,39.1,223117,19.45,621126,12
1416,2023-07-06,7,10,12,16,17,20,28,20,28,,2,5,2,4,1,0,0,0,5,79522.2,54,9154.2,883,486.8,2161,149.2,29400,68.7,38161,41.1,176763,18.85,487744,11.75
1415,2023-06-29,1,3,5,8,18,24,28,2,"3,5",,3,4,4,1,2,0,0,0,1,249394.55,44,7046.75,780,345.65,1331,151.9,17303,73.25,26996,36.45,101723,20.55,286855,12.5
1414,2023-06-22,3,4,5,6,14,22,23,17,,22,3,4,4,1,2,0,1,100000000,10,216070,214,12552.7,4732,493.65,9866,177.55,145034,75.7,192208,44.35,905717,20,2610159,11.9
1413,2023-06-15,2,9,11,13,20,25,31,2,20,,5,2,2,3,1,1,0,0,4,280009.5,141,9875.75,2615,463.05,5247,173.1,76418,74.45,100617,43.95,467542,20.05,1328252,12.15
1412,2023-06-08,12,15,17,20,21,22,28,11,28,,3,4,0,4,3,0,0,0,4,179969.35,85,10529.2,1485,524.05,3366,173.4,48829,74.9,63649,44.65,307940,19.6,889948,11.65
